filename,mean_intensity,T-half,Mobile Fraction,R square
MGS5_001,14.192333333333336,4.42,0.96,0.98
MGS5_007,10.376333333333333,6.58,0.97,0.97
MGS5_013,12.53283333333333,6.07,0.76,0.99
MGS5_014,14.838166666666666,5.13,0.73,0.99
MGS5_016,13.141333333333334,5.63,0.79,0.99
MGS5_020,10.683333333333335,5.01,0.87,0.98
