"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
1,10769.80455,18264.65968,250.82694,2731.06132,14.47957
2,10833.50253,17367.18164,209.82913,3975.80572,9.05613
3,10793.82247,19028.14641,232.38694,3713.26503,10.4391
4,10940.72638,18067.20688,76.10358,238.73981,13.25522
5,11025.0475,20171.05163,249.65752,4975.11572,10.03525
6,11287.40774,16036.84129,275.84088,5823.57339,8.68471
7,11306.94084,19902.80785,224.65494,4568.35714,9.30894
8,11374.11776,16324.13687,257.30064,2904.23759,15.01227
9,11545.95746,15182.67084,316.46944,9049.80129,11.55005
10,11531.02728,21347.60805,290.07776,5922.07592,11.0346
11,11527.58559,22510.36671,311.80633,7562.82453,8.67232
12,11497.47631,14396.76816,146.61801,2766.29458,8.59707
13,11503.50604,15350.43879,109.29262,619.06902,18.84668
14,11519.60486,18331.90351,276.38781,5783.59391,9.76855
15,11503.56543,17232.04491,192.45714,1764.80868,15.01759
16,11638.23236,19062.72183,272.82472,7303.70478,8.39761
17,11559.13967,22054.78734,150.51795,2265.15914,7.63206
18,11671.9111,20153.3779,324.86268,8419.95903,10.52397
19,11674.24804,17985.15357,77.95617,221.89134,13.21992
20,11818.87264,15592.4604,78.19532,209.8304,17.38812
21,11695.1269,19685.4357,218.40825,3096.01057,12.00775
22,11708.11316,22463.75272,191.87252,1971.7569,14.20826
23,11871.79616,23216.06957,227.77048,4931.42324,6.98795
24,11857.79463,21097.36389,294.55679,6799.49299,7.37318
25,12151.17484,13074.39217,328.43023,5076.31144,13.21568
26,11898.7023,21500.02193,157.09209,1038.04263,15.37738
27,12184.29372,13397.54183,170.7552,1436.00075,15.69808
28,12106.56461,13725.83994,201.70971,2357.59076,10.99475
29,12139.94015,15080.29684,219.28353,2095.97516,17.96207
30,12124.63293,18971.70149,263.12572,3936.30719,8.32253
31,12297.24113,23516.98415,378.58221,8425.12089,12.94758
32,12310.76575,23991.82127,236.28206,2982.67009,11.27436
33,12291.60119,20103.15913,106.28567,533.74227,14.86165
34,12220.4242,23501.75012,342.95386,6926.88673,11.36632
35,12413.46205,11733.31565,165.84238,1997.86565,14.39691
36,12396.51418,11908.62605,242.98295,3581.06658,9.89136
37,12329.95031,18247.25021,78.89374,397.2338,13.76857
38,12542.43069,24448.63668,151.29899,2033.82503,10.14138
39,12540.99032,12423.268,86.59713,328.81725,12.07694
40,12599.96968,14214.43004,206.63304,1373.79815,14.07035
41,12631.31035,16635.50904,311.43975,9694.35793,6.80262
42,12313.71973,18229.32288,89.1081,459.65548,11.72156
43,12590.18398,21525.83532,125.83475,1340.19455,10.37824
44,12511.15081,18205.64845,264.69491,3042.4716,18.59867
45,12569.25881,19678.58308,87.76182,311.16051,12.78628
46,12632.00892,21136.89203,124.00913,601.44395,17.03371
47,12672.50811,15839.11159,218.65963,2971.89999,10.19962
48,12718.0159,23251.40685,170.19991,1479.89915,10.97212
49,12995.11788,11522.6129,297.5139,4215.53144,15.28883
50,12816.83316,14750.86729,252.92382,5068.3186,10.62256
51,12790.14163,22714.53025,159.94177,1458.39688,12.06479
52,13052.36568,11559.67757,452.87222,15081.10514,9.51129
53,12816.96887,14628.41986,126.01806,716.0828,16.36049
54,12791.43541,14937.87877,115.387,549.46695,16.59847
55,12973.76612,23832.76757,210.53259,3286.02444,8.35885
56,12889.25015,24397.29745,87.89222,278.66227,12.66371
57,13101.83642,11281.30065,234.84607,4966.41614,7.6968
58,13108.44509,13637.35533,98.81991,479.8659,10.80842
59,13116.96659,18621.83173,81.14974,291.36372,13.29195
60,13087.26477,20720.06548,136.94304,990.0921,12.00872
61,13089.08835,21749.38155,85.09426,235.10589,21.90736
62,13125.92292,24785.0773,118.14476,594.45354,12.06041
63,13281.3305,24909.2673,348.90561,9275.30928,9.22078
64,13387.47447,10569.34949,234.81203,4136.3499,8.27361
65,13372.03982,12350.64711,359.91803,9105.96793,8.04403
66,13186.22282,16388.21165,157.10377,1507.7439,12.15911
67,13310.52992,19836.62389,167.99684,874.84201,23.15454
68,13297.62471,23864.62747,184.21571,2430.20197,14.14625
69,13318.0231,11677.07119,128.16394,771.36668,12.49543
70,13326.9264,13169.54059,81.68596,192.22551,17.80689
71,13419.40765,15876.86069,417.54782,12068.20424,8.87131
