"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
94,7604.92905,12054.37563,128.44698,1324.23855,16.4047
95,7689.5545,12958.32596,282.42519,2254.10287,23.53973
96,7612.48843,15827.04117,120.8492,822.49362,10.00745
97,7650.00557,19961.09725,178.01752,4224.04028,10.3087
98,7735.64338,11878.97852,130.58343,1372.89065,17.47811
99,7760.4334,13765.22874,72.50749,376.49434,8.5436
100,7702.08309,19051.03755,69.60616,291.7418,13.5256
101,7722.09652,20256.34518,152.38535,1988.07305,15.4743
102,7782.39053,16730.78628,138.44128,882.04747,15.80354
103,7850.21834,14500.78485,114.73814,980.11934,10.06033
104,7850.10867,16543.18684,102.17984,369.31761,26.13065
105,7939.10923,17791.28411,154.26558,1731.70747,14.32489
106,7976.98238,4997.91606,114.34235,537.60905,11.32099
107,7909.91271,18645.92018,68.13413,223.08487,15.41959
108,8000.45674,13043.3791,109.15152,742.30736,20.22407
109,7874.71017,19431.27438,196.25492,2639.57468,13.02131
110,8251.9885,8698.89675,136.53594,1155.40272,17.03385
111,8144.77162,9512.71318,189.78317,1943.64673,14.2621
112,8213.82178,15130.84064,119.12559,448.81216,15.60787
113,8089.20795,16168.44299,184.04493,1049.16594,16.00657
114,8134.77584,20501.52682,90.9204,503.76035,14.48502
115,8389.63082,7420.61938,165.0168,1321.82069,22.80284
116,8071.87708,11132.67598,181.53515,3047.24748,12.03698
117,8076.56088,11744.54558,115.86131,638.3512,27.47215
118,8359.48917,12372.12517,183.20957,2058.11135,17.22407
119,8179.80427,12612.8582,103.00667,500.96733,28.65549
120,8437.51997,5708.37814,188.08138,1422.68153,24.23269
121,8352.22563,6451.83291,85.46361,610.38626,12.88786
122,8430.25879,7833.08181,183.13742,1829.48552,13.27973
123,8393.75219,8171.60597,139.70789,1116.1861,16.16531
124,8250.33959,9565.38695,204.76806,2013.81621,16.96802
125,8290.90579,9670.23512,208.97226,2033.80374,16.70935
126,8487.41303,10524.13257,142.74333,1277.51423,13.86211
127,8420.88557,17119.02475,113.43294,440.68126,19.76877
128,8530.64239,18915.09875,162.48406,1389.52716,13.08659
129,8407.31931,5960.18543,250.28127,2423.08269,26.26378
130,8391.89402,8683.03008,140.1979,1216.74614,16.16325
131,8487.38323,16716.82775,84.99177,244.90774,18.5841
132,8361.36761,17613.2001,107.39237,1104.8408,14.11953
133,8373.07086,19939.04235,149.73553,718.175,22.69157
134,8588.49303,5075.1496,197.77994,2534.15925,16.8197
135,8504.36652,13050.27317,73.00474,222.95439,23.00713
136,8489.04115,14865.14565,108.55688,497.89862,15.71078
137,8566.93928,18246.19164,127.62319,1243.07022,14.63844
138,8590.55804,4827.65169,136.77262,1086.41037,13.69407
139,8566.967,7069.70314,143.39035,1455.24373,16.49473
140,8609.20689,12223.13746,250.97895,4751.10183,14.01283
141,8585.00619,20408.29447,146.14544,445.0315,35.76913
142,8622.91029,20813.09473,157.97984,1417.22711,13.6727
143,8709.35873,10060.79951,88.03274,469.86286,11.84636
144,8694.0816,12104.61001,236.12913,4728.02582,13.72223
145,8664.90847,16301.24641,85.0715,408.86188,11.76795
146,8667.09266,18963.08067,161.54913,1715.8734,14.47882
147,8776.99248,13556.48435,80.5577,443.12952,8.46731
148,8719.90579,14521.68871,92.09432,420.52916,14.03622
149,8749.19405,15436.86781,96.5891,823.78875,6.59437
150,8669.17731,20358.70894,99.4605,415.352,21.64565
151,8838.28178,5807.83399,108.02212,533.24051,18.67014
152,8707.14577,6951.93497,123.98937,862.16556,15.21299
153,8777.57952,16923.74755,64.85356,214.69399,13.02032
154,8813.70257,21426.3905,152.34553,2086.29167,9.95699
155,8851.17948,7822.10541,120.46039,945.66582,15.54595
156,8906.85123,10743.4417,150.78673,1240.23165,18.56111
157,8774.34811,12194.8303,265.2086,5803.31705,12.12105
158,8995.61146,5151.46076,148.90273,1401.06104,16.13865
159,8953.8856,12318.1508,165.18135,1449.14867,17.48212
160,9044.07853,19345.97405,209.4592,1999.39152,26.92851
161,9088.29042,19503.9874,135.28123,1192.74903,15.53669
162,9023.83696,20055.82065,134.78035,631.08564,26.70069
163,9063.95052,22007.9107,102.3283,684.9513,11.42815
164,8909.43483,5858.19381,127.54553,805.25689,17.45099
165,9071.64629,18197.26333,141.31287,1974.27658,11.4615
166,9234.58179,8955.80937,170.88798,2409.30619,14.69967
167,9118.38514,12932.61574,128.52932,556.97823,20.93423
168,9158.04823,16493.09967,93.25522,294.68221,19.80333
169,9234.79138,17327.28378,142.56283,1333.26466,15.17848
170,9287.15137,11738.57015,119.6478,734.19559,18.42572
171,9491.5181,9835.03893,165.60153,1060.6294,14.54384
172,9221.31826,10801.24108,114.05772,415.48171,22.82921
173,9388.12856,14728.24361,165.69407,1030.28386,15.52344
174,9458.11262,4995.59889,254.26285,2112.08279,25.64633
175,9497.51119,7042.20279,136.60954,7873.44216,3.85504
176,9382.21732,8616.47996,158.40041,1825.0032,17.14524
177,9502.72806,10138.54833,121.42796,796.60048,17.88258
178,9487.59949,14161.39744,76.50746,321.38477,10.85064
179,9542.48218,18931.63613,130.23188,1078.66922,14.37906
180,9484.5542,20924.65809,94.50633,776.83677,13.37925
181,9504.56762,22107.39134,234.84999,2964.72814,12.30454
182,9605.36123,22302.37739,219.06446,3312.89101,10.18398
183,9563.10081,4392.51107,112.75169,948.01438,9.8332
184,9471.23673,9111.8619,162.42699,1885.1375,11.45442
185,9571.71765,12663.34697,68.1639,200.2173,12.1799
186,9517.67312,18217.69883,165.2468,1561.77933,18.44337
187,9538.21558,18838.08755,158.72854,1513.20602,14.97988
188,9601.82012,20264.471,167.62999,1921.64884,16.93588
189,9523.78529,21423.39486,107.49416,386.72333,22.60101
190,9812.62688,13054.72486,112.99131,690.89812,10.51739
191,9797.44914,15255.0486,114.95154,739.59319,13.16348
192,9731.95373,17120.9536,134.75473,1448.30561,9.56901
193,9567.28107,20283.68321,179.62911,1587.44873,22.71375
194,9915.37463,5107.26538,131.67414,735.28032,17.08015
195,9883.4774,13461.40657,101.42064,325.88413,16.76942
196,9912.76221,16378.47481,66.0334,221.45532,16.70172
197,9881.36754,19600.36272,62.1583,202.86752,13.4355
198,9807.70552,22593.09277,140.12429,1291.33177,11.2499
199,10136.47477,5931.79826,142.03961,760.24443,20.56507
200,9911.93615,7883.12274,99.93279,435.57996,13.00511
201,10008.10187,10339.93222,213.89381,2282.37103,22.8224
202,10079.28799,4957.5215,212.17518,2140.07128,17.87962
203,9941.67316,6782.29782,186.16931,3373.58168,13.54975
204,10028.11735,8872.33418,105.0711,775.11037,10.61566
205,10045.66416,14577.75892,131.04849,2591.89678,6.57759
206,10181.47245,16003.83256,95.67444,273.4138,31.58962
207,10065.20087,18155.6293,140.95066,1425.63047,12.25339
208,10176.37258,21645.21757,78.30697,358.92097,15.20653
209,10107.06184,23582.43805,94.7017,300.39116,28.04423
210,10146.20771,11614.10825,143.14128,1391.3661,13.84411
211,10341.11529,7310.79703,117.56907,774.70745,19.69086
212,10384.3601,9966.69077,306.93332,2922.44046,29.47345
213,10326.00618,10848.34439,129.77333,958.02598,15.23586
214,10276.45149,12440.3907,52.12013,152.90243,12.0397
215,10242.28084,16871.24715,111.92069,280.57267,33.74498
216,10518.13455,17144.85259,105.33358,382.3838,19.10695
217,10260.30361,18910.90229,72.92245,323.15105,11.86456
218,10269.74036,20445.72579,198.45246,2310.09965,13.4042
219,10278.99053,20964.06301,200.77852,3050.97312,13.98677
220,10219.81733,21102.93938,197.22233,3020.39543,13.99595
221,10350.74833,23240.76784,102.92258,281.40157,28.03484
222,10355.1775,5770.81722,83.22442,384.74311,19.70974
223,10380.96085,5249.48998,178.31253,1705.2107,14.65037
224,10455.21864,9317.66644,114.89245,1062.38764,10.04388
225,10373.12346,11773.25786,221.71198,2637.00411,22.27652
226,10439.39162,13154.25602,100.14914,341.84531,15.30574
227,10250.09409,14527.42008,138.26335,1309.03876,12.49805
228,10618.76812,17273.25481,167.18881,903.58896,24.37757
229,10389.63658,18504.56562,124.39936,793.82312,18.3206
