"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
424,25730.90163,27489.02753,348.22528,15054.98105,6.55366
425,25838.02444,12977.01235,167.73431,3150.14351,8.0475
426,25808.38456,18468.9963,345.47971,10958.14904,10.00119
427,25809.01832,19803.88796,132.36424,838.9655,18.33931
428,25880.48254,23979.6661,183.16819,1435.43615,12.27731
429,25679.98175,25071.62537,591.30891,57615.57127,6.51345
430,26068.7827,11845.76082,357.31916,19069.49632,8.84888
431,26116.60115,14326.98933,715.06384,81559.94148,6.00784
432,25852.64657,15523.39163,291.19708,7945.02125,9.36182
433,25926.10334,29542.08663,144.23786,1327.09024,16.48101
434,25981.27505,25439.655,199.76463,1886.84386,18.5154
435,26055.42621,26441.87081,79.70246,281.28184,17.73618
436,26002.27165,10629.72917,134.59615,2520.84975,13.00809
437,26118.50462,11538.17085,98.88251,468.19927,24.79008
438,25997.53121,15017.16956,179.41062,1833.24033,13.13664
439,25907.04462,19411.36839,526.07004,48436.7015,6.16857
440,26037.77596,14439.70018,583.4719,56179.85836,5.52225
441,26223.24977,21475.73703,120.04556,808.63763,11.60041
442,26345.0859,22432.95913,388.05096,21841.06406,6.29844
443,26439.28625,20110.96983,173.09289,1076.14688,26.19684
444,26347.22757,21862.8743,85.95047,491.81016,11.03274
445,26323.72969,23920.63154,465.99657,24494.68858,7.96217
446,26439.31569,28740.14218,259.04802,3520.41009,16.99475
447,26376.65449,29880.22016,291.80195,15292.67667,5.77532
448,26561.35651,15890.27546,434.09542,23959.88247,10.98185
449,26417.59749,16849.95229,168.36024,1936.87621,17.60693
450,26384.17639,23694.45324,364.07389,20575.26581,5.48831
451,26617.37369,27584.78152,191.06095,1820.97272,15.60824
452,26614.24148,28345.26277,268.51805,6594.58952,13.29193
453,26500.79979,12531.86025,111.65364,582.65514,12.33183
454,26680.34733,18834.33635,360.76596,9405.05523,11.10981
455,26540.94947,14711.78705,197.41348,2058.25337,12.8089
456,26544.58168,20560.99974,142.05874,981.91882,14.32228
457,26653.36267,26559.26457,381.79724,17544.64392,8.37332
458,26661.82551,16627.36938,71.1393,478.07847,14.73385
459,26817.97669,17723.94059,315.46775,9054.17606,10.66709
460,26707.05828,24204.04775,258.87894,3560.41782,16.75392
461,26742.55338,11462.00755,76.91766,328.37177,10.6829
462,26694.89819,22449.11397,139.4677,669.30634,22.15705
463,26828.0031,25297.29935,264.39393,5533.52974,11.43517
464,26753.81884,28278.64569,212.83139,3811.70172,12.81134
465,26842.9723,13189.73492,559.15847,45183.1177,3.96505
466,26798.43029,14268.72902,92.11244,416.58313,19.07386
467,26819.37957,16147.44977,86.3703,520.43656,16.56066
468,26847.21381,19059.56331,129.97149,1333.4463,11.85126
469,26852.89623,19982.7648,520.17813,46240.14619,7.052
470,26799.39868,22245.28266,248.34766,3942.17513,14.02443
471,26786.28927,27460.13309,109.18522,597.41909,17.82964
472,26911.93396,13739.59509,73.22597,264.63334,18.9902
473,26976.7569,23221.88234,212.52193,2185.53939,18.03352
474,27039.08312,25886.95074,272.58478,5217.28729,15.43998
475,27049.91027,21550.41964,179.39135,3181.29177,8.85709
476,27062.54614,22837.0013,251.35551,3272.82083,17.76317
477,27110.56385,16922.97138,65.79639,282.26171,13.58308
478,27224.36909,18259.80431,514.96954,38112.68446,6.61284
479,27024.93225,19917.84302,372.37941,22998.98423,7.53712
480,27141.43577,26686.83006,172.05659,1601.71053,14.22947
481,27241.39043,12330.00655,139.1018,1033.26646,15.73603
482,27207.76312,13075.64279,455.66488,27431.28021,5.88388
