"id","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
162,18042.97252,26541.08941,7504.08732,8.97743
163,18088.54951,14950.2681,1066.76376,11.46339
164,18240.41307,26905.35055,13769.50415,5.60141
165,18167.74719,22565.08732,724.49249,9.37665
166,18189.93595,26669.95729,1512.60377,10.4849
167,18374.97001,28265.89457,1172.15527,6.42347
168,18514.53234,18546.4412,3695.67539,9.13642
169,18527.65814,20675.20202,500.81328,9.78242
170,18557.57414,25110.94103,4640.56093,5.94207
171,18671.12248,11635.48748,6015.56847,7.35511
172,18615.60616,19382.88512,601.1522,13.03962
173,18676.81995,15606.5995,981.23399,12.24088
174,18779.65326,21555.48612,308.35457,11.68812
175,18979.67819,27342.36283,15676.29464,7.22027
176,19013.26584,10446.71556,600.08662,9.2867
177,18998.12737,24533.09093,1502.44829,7.05989
178,19021.50082,13842.6546,1049.06583,11.74695
179,19079.56147,17644.97042,960.33536,14.24823
180,19092.1191,12594.87402,1498.59405,9.91955
181,19299.63431,16422.7017,663.26165,14.07885
182,19435.75575,10940.87614,8568.84686,5.28671
183,19461.94148,21572.81128,520.47761,12.72879
184,19471.11632,14931.08427,31441.06274,4.71279
185,19534.12061,24274.24624,1628.95155,11.81752
186,19571.68596,11634.078,2900.52319,8.27951
187,19605.53887,25051.25491,1743.56514,13.32065
188,19644.40384,26757.47632,1070.56305,10.73929
189,19902.28021,26313.3023,1701.59851,10.79033
190,19877.44232,22390.83691,1247.20631,9.02199
191,20012.73004,14032.65438,1920.69421,15.03141
192,19936.50215,20162.35148,553.90093,12.38996
193,20043.26912,27889.27861,16425.3941,5.95788
194,19978.29523,27529.68899,568.32714,22.92538
195,20082.48751,25576.69779,1240.14988,11.06869
196,20146.11982,25941.33856,3218.10854,14.2223
197,20302.49402,12231.73146,1942.28456,9.39919
198,20515.51786,19182.19951,774.71957,10.61772
199,20664.41131,28109.94402,12729.85878,6.4109
200,20628.26034,13611.19282,773.77558,11.26234
201,20857.64824,23396.2584,1404.80698,14.77878
202,20982.46433,12474.20075,4808.44798,9.97821
203,20930.22166,15184.77802,1117.39461,9.23281
204,21013.97505,16252.73894,872.79989,16.15808
205,21115.05887,12165.10296,641.82457,11.74125
206,21358.84051,18888.83907,777.69401,13.4867
207,21524.35239,20483.61018,1036.35712,8.64234
208,21529.61957,21403.16195,749.31009,14.10136
209,21577.92831,22541.40449,3327.68127,8.71832
210,21611.50631,27302.20728,3888.60251,8.38468
211,21728.62478,26418.83521,1002.36354,16.52976
212,21771.04577,12452.98368,880.16622,13.86126
213,21864.17643,20027.31033,679.07886,12.38259
214,21862.75461,27917.35511,1659.05128,8.36107
215,21989.42409,10733.90866,564.13209,12.91242
216,21965.38331,16277.23414,5697.74342,6.15938
217,21887.22585,23113.86308,854.82358,18.84958
218,21907.42594,23406.8579,5444.46939,7.78496
219,22150.86875,13254.32362,3172.44906,9.76329
220,22042.79211,15346.05097,1187.3269,10.14338
221,21949.64955,17672.01001,5736.96586,6.24043
222,22048.4707,24185.1238,24922.63738,5.2758
223,22372.17477,21466.07624,1714.23432,5.00253
224,22501.47452,11907.08219,3152.75403,8.47427
225,22470.64532,14390.32983,678.70153,9.62477
226,22413.51756,24549.28683,1414.22409,11.21257
227,22640.11257,22262.11345,278.04002,14.17625
228,22719.63858,11296.05318,865.37198,10.96342
229,22678.46826,18748.74584,419.13761,21.81258
230,22754.85263,13552.97871,447.37777,18.92862
231,22811.92703,23049.88013,850.54639,12.69395
232,22982.31753,12876.87133,1968.29321,12.00486
233,23026.89944,14559.5792,1465.49311,11.49868
234,23011.86826,23617.13906,280.76981,12.90244
235,23108.13723,20579.97477,1660.39864,11.37536
236,23294.36533,16626.91206,4060.983,9.95841
237,23327.35603,15481.27067,1862.95004,8.54614
238,23281.4205,17847.644,1837.44775,10.34712
239,23353.60121,28872.10302,9124.47588,6.40548
240,23412.5773,25505.2124,1067.15896,13.7324
241,23490.86665,22607.22708,263.68124,17.56206
242,23599.08402,18182.74072,379.69445,13.25925
243,23556.84749,25711.92996,1369.13538,15.13636
244,23648.61946,11449.7702,6987.86444,8.00132
245,23713.14994,19798.36447,2673.3049,9.74467
246,23846.35149,26615.83513,3057.78927,12.03979
247,23792.97573,27820.83726,8298.56953,2.66038
248,23947.36503,21748.67595,759.12206,8.29121
249,23968.38163,23169.38377,361.38209,16.03161
250,23873.89441,26637.34331,11267.77406,7.56612
251,24000.42655,24187.27787,8629.42927,5.24353
252,24153.38941,13267.80868,559.82436,14.24473
253,24299.01842,13978.61826,3302.30502,8.43958
254,24224.82624,16983.5354,12476.30941,6.40629
255,24517.65915,29419.92026,11378.55618,6.76139
256,24522.8604,11907.54357,1508.04999,9.68504
257,24478.87104,18587.78754,16029.2655,6.74705
258,24641.96447,27708.3864,1184.49304,11.9889
259,24760.51025,11124.72205,2090.51755,8.68702
260,24740.45917,26467.75255,411.57751,10.83062
261,24867.49745,12949.20706,2447.55437,12.14523
262,24852.04101,15791.49984,1632.69297,11.83605
263,24874.96227,17518.78513,7178.15867,6.7549
264,24921.22291,12925.96176,2815.31583,10.75956
265,25081.72868,14329.46121,1325.73111,12.02745
266,25086.17881,14803.82637,1341.20213,8.90802
267,25199.21635,19550.62436,648.67963,11.55147
268,25297.81187,11910.07018,826.4721,16.36671
269,25184.8451,25327.28505,4045.60297,11.03749
270,25251.1397,29288.99963,1112.44116,8.99441
271,25304.80849,11072.74255,16918.79518,4.99106
272,25339.42827,22357.12526,6651.49071,7.28143
273,25571.30202,26882.37333,2963.05967,9.04524
274,25720.69956,13883.12004,1489.33605,10.48622
275,25688.14462,29774.40855,2996.17997,10.23499
276,25691.48281,27888.13048,3259.8341,8.08677
277,25987.74169,23356.88476,615.9539,10.05375
278,25925.40053,26336.35275,41469.27492,5.30416
279,26154.01689,25651.00112,598.76774,13.33225
280,25910.35213,26296.07071,16304.32949,8.17551
281,26316.89067,18417.49159,388.53228,12.17503
282,26381.57271,28700.05711,2778.63688,10.80357
283,26492.93516,11724.48483,759.87965,10.00602
284,26438.0464,15068.94668,278.81289,15.4033
285,26647.64219,22973.00117,530.09175,15.57599
286,26632.85688,24827.52527,440.15787,13.86645
287,26622.40577,26640.96028,9220.15801,7.05458
288,26686.9421,22307.47555,668.63278,13.11846
289,26740.18607,20556.16018,420.52104,19.98309
290,26814.80977,23930.30794,811.79642,12.40489
291,26836.47577,26040.99561,523.29129,15.54912
292,26854.40834,28841.26339,23013.41509,6.13815
293,26996.68425,16704.94216,1036.63261,12.53989
294,26864.23337,26807.68896,654.69899,19.9829
295,27068.56956,23287.97438,564.5286,13.4668
296,26938.71598,28835.08562,2431.99316,13.2002
297,27206.88876,17297.69562,1411.40538,8.69742
298,27221.02435,18679.78646,8629.75994,7.14961
299,27208.40055,22166.34185,620.72677,14.96354
300,27295.73798,13379.80401,217.31058,10.77771
301,27384.28234,14072.38359,8853.90733,7.27521
302,27268.12793,27855.31063,21519.15675,4.67734
303,27315.49511,15801.06601,1035.00582,11.30677
304,27522.80688,24287.99559,2804.79432,10.5558
305,27419.35425,28344.38646,386.55101,18.77231
306,27391.59083,29988.00765,12725.42865,5.67158
307,27464.43523,20443.58076,1281.66018,12.45271
308,27676.41723,25499.73856,17037.94942,6.84652
309,27688.79808,21468.33071,1787.48959,12.20525
310,27750.3749,29495.97539,2131.70492,14.31941
311,27709.1256,11325.75175,4216.13164,11.25756
312,27725.15415,25891.99561,370.0545,17.16396
313,27776.98878,14808.43169,2576.12519,9.99596
314,27815.9533,29484.52346,23699.66194,5.944
315,27719.54777,21600.29334,47503.2918,6.19607
316,27944.91468,13777.93147,1172.40658,10.132
317,27949.70314,16293.47592,2343.37625,5.1313
318,27897.96414,24030.89959,7090.42703,9.84605
319,27984.40356,25259.89994,3784.59608,11.34959
320,27961.12734,11928.98803,738.88933,17.675
321,28017.89986,17706.49372,4565.2008,7.20005
322,28079.17889,28659.63627,29546.17317,4.84965
323,28116.02559,18913.49186,299.82969,11.73855
324,28125.28719,27722.32174,808.74723,11.97395
325,28125.12113,11033.23091,981.61298,10.50138
326,28254.40232,20587.78269,454.18572,21.72165
327,28370.72382,22709.95929,2562.78037,4.70764
328,28399.45306,24795.59849,1360.02962,13.87844
329,28458.0341,16455.8741,815.68235,14.35804
330,28476.49759,20161.0594,1463.46468,9.46988
331,28580.58883,26627.93751,1299.87034,9.0794
332,28612.07787,28763.36469,1265.07641,13.92272
333,28511.11819,15810.05032,2206.97622,8.70582
334,28644.25777,18144.1375,4063.3535,9.00698
335,28870.74728,19139.95249,3140.63668,7.58357
336,28939.69607,25624.83725,802.65855,13.01864
337,28905.72998,28013.73099,1645.40799,11.26623
338,28882.85072,29436.54888,10862.8624,6.84549
339,29112.59358,15006.35728,508.0498,10.56044
340,29048.70216,27146.28439,369.60992,11.56444
341,29280.8625,16898.01699,1205.52374,5.84706
342,29297.9511,18647.83955,507.71142,14.53648
343,29283.33541,27564.3138,692.77994,14.93031
344,29317.23161,23146.22483,23486.44765,6.06872
345,29345.1643,28559.43749,4558.68265,7.64416
346,29572.91338,24751.71266,1734.20068,8.08117
347,29702.67266,16293.33373,1161.31554,9.08443
348,29615.9799,25737.26452,3772.62362,9.42094
349,29872.33047,18743.79891,672.65744,9.99141
350,29998.40768,23182.81043,1959.66907,10.60621
351,30233.03741,14900.9986,1533.79964,7.03629
352,30291.84871,21402.17042,7236.27716,6.82384
353,30221.64352,25281.62973,682.15606,12.41404
354,30273.0592,28328.09836,875.88616,8.73159
355,30398.53336,26403.23682,1294.60702,9.24472
356,30584.7822,17918.70688,932.29288,11.68462
357,30981.42924,15356.10038,667.31758,12.62149
358,31200.23898,23589.58682,3723.89636,5.97354
359,31392.99966,19363.16074,2725.77697,9.87187
360,31632.39635,22372.33975,542.3615,11.71123
361,31807.25531,16240.90385,5423.49227,8.09628
362,31962.92909,17145.50217,365.59463,11.14048
363,32004.76699,16011.48682,2736.77704,8.82451
364,32308.61508,21460.04257,6335.98207,10.23349
365,32527.71839,22366.25452,3370.61082,8.91074
366,32571.95059,20707.22008,2142.77018,12.73713
367,32796.6951,23719.82485,2402.04085,8.78737
368,32878.84539,21210.7357,16590.76643,5.73531
369,33090.02479,19416.92322,736.67448,9.44171
370,33251.5319,20658.50128,2300.42111,9.57043
371,33451.08867,18999.41015,4613.27666,9.77416
