"id","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
1,7568.4369,10523.34257,6555.59389,6.55397
2,7840.64728,11211.76882,14343.1908,5.15647
3,7973.19885,8629.62252,9752.12881,6.1262
4,7907.16773,9199.5349,13089.93579,6.27318
5,7892.60597,9544.2199,334.16302,17.41637
6,7924.30161,10960.99241,3154.88138,10.23257
7,8197.60325,12127.43082,27721.55982,4.14778
8,8236.26786,13331.82995,10511.8327,6.8816
9,8235.09601,13437.31497,12119.90078,5.02625
10,8303.70586,8035.1322,7172.81263,6.61605
11,8361.18716,9947.20574,1222.85006,17.47217
12,8553.03491,4595.24645,11435.85851,6.54122
13,8657.4688,14623.22115,13765.95792,6.89467
14,8818.55675,3641.20835,10520.71357,6.09118
15,8593.78789,11478.41174,520.64117,12.82369
16,8920.72125,3524.51163,14214.89671,5.85781
17,8784.68941,4496.61722,1726.33866,11.17428
18,8802.07846,5239.22254,1654.23633,11.25627
19,8743.50273,7859.03609,7292.45642,6.96322
20,8962.80964,12802.91877,33391.65932,5.38589
21,8974.71422,10542.02662,1168.89471,9.34429
22,9151.94486,5736.17343,498.68145,16.8334
23,9205.66833,8801.53943,2823.13295,8.78109
24,9319.21896,3293.98945,1207.71285,12.59619
25,9225.22607,4155.79744,912.8556,8.09365
26,9301.81551,15107.80178,1677.74979,12.32727
27,9250.93244,16189.47918,3099.39271,7.10336
28,9329.68868,12086.94958,2968.3222,9.57566
29,9563.13207,6871.55345,4917.70633,11.12642
30,9569.79028,2866.16843,19322.60348,5.18216
31,9640.2874,7152.6435,773.86065,20.21633
32,9701.36397,7211.80625,35385.52252,4.65801
33,9491.6167,14293.8454,1616.75667,10.23047
34,9863.80422,17032.50986,19288.73916,6.78901
35,10110.19097,10498.03148,615.42491,16.41673
36,10021.60844,16516.30818,440.52677,16.89417
37,10221.18001,17799.55102,11645.60814,6.24387
38,10101.86075,7503.7772,1658.18113,12.1982
39,10377.13649,17949.499,25796.87693,5.91796
40,10455.47025,13341.91767,35796.19075,4.67463
41,10420.94625,5085.66566,398.64143,18.21836
42,10422.1115,6576.46412,3417.4577,10.08811
43,10456.05883,9000.63631,824.68552,9.75037
44,10411.81497,12014.78616,338.29168,14.48573
45,10736.5074,18770.71263,13639.90132,5.9523
46,10609.04198,5595.373,2725.05445,8.77373
47,10507.42951,13079.61369,51910.25487,4.17124
48,10673.24346,17842.46185,4982.41189,7.75881
49,10695.53649,2502.7279,559.73167,13.22533
50,10851.99476,19099.06254,11200.2956,7.45426
51,10709.46416,16372.77701,671.57369,14.01945
52,10885.3506,4700.35252,1020.72821,7.97371
53,10970.92137,11476.53372,4656.59913,8.21198
54,11064.95172,3256.23416,1044.56468,10.61525
55,11103.37016,6724.34239,719.44859,11.40965
56,10983.04775,14648.23811,2267.22188,11.25101
57,11065.79471,15603.14902,3776.46883,7.73411
58,11165.60021,5508.8076,847.88227,8.91532
59,11160.10799,10292.74146,4534.49849,7.6078
60,11321.55631,9434.23063,649.83024,12.86933
61,11484.80673,19475.55764,25640.50655,4.60634
62,11461.93242,2746.05749,568.28498,15.23051
63,11519.36194,8242.7687,1148.13468,10.20462
64,11573.9217,11751.97494,1373.80025,10.8058
65,11637.0225,15796.97203,365.10008,15.27637
66,11711.186,12603.61439,7505.43022,3.23822
67,11823.30095,4462.7467,3891.88188,5.15694
68,11905.1839,14563.66862,2125.75992,10.25881
69,11898.34116,16872.4778,1213.7432,16.46317
70,11965.26733,5516.32363,775.57494,10.78969
71,12037.74005,17450.88616,838.61539,10.97442
72,11985.72772,3264.13411,25511.42685,4.65975
73,12153.10206,7406.06654,951.48603,11.22924
74,12372.8155,20261.4211,16126.37927,5.55914
75,12233.4294,4820.9197,3940.07924,8.39382
76,12505.74888,6271.62553,32747.76711,4.63424
77,12468.34613,16462.68346,558.80784,12.33053
78,12358.82167,19144.15391,1601.72213,13.61618
79,12490.28872,2133.26643,3029.69199,8.96488
80,12566.62531,11125.07303,3568.73264,11.62742
81,12606.11606,11727.43223,440.19251,14.17043
82,12624.56554,6314.54026,31208.35075,4.84083
83,12787.02727,2814.85455,14910.32707,6.66517
84,12964.64839,8034.94394,14505.0817,6.39846
85,12787.1608,15416.51097,5694.68984,10.33365
86,12884.43616,18217.95903,1836.09489,5.53093
87,13176.6754,3461.30112,3005.70512,6.17444
88,13120.76017,7623.66517,748.73133,12.63699
89,13232.0932,5943.0075,917.37563,8.94123
90,13194.38991,8171.69001,4510.31783,9.02773
91,13225.33086,9582.41727,314.13555,11.02391
92,13410.85206,20936.51704,20100.3,6.82676
93,13277.42435,16015.83426,1385.88522,10.32366
94,13411.40166,21170.95613,14946.13637,6.24989
95,13654.18588,10312.06144,653.43331,15.46043
96,13674.39122,19790.1129,536.23213,12.31687
97,13823.61349,12691.31769,453.96945,17.13954
98,13833.97774,4223.14754,380.33519,16.54373
99,13957.22377,12042.45087,517.91901,15.25077
100,13987.28635,20610.99685,2747.42408,10.42515
101,14167.9757,8949.97862,24149.1068,5.07337
102,14277.2956,13338.77742,348.88965,16.30689
103,14391.31241,12378.09652,1886.0144,6.40056
104,14311.60192,18224.40925,9857.22036,7.85926
105,14375.53866,13066.91094,1882.48122,13.13807
106,14417.02765,19889.80396,2047.3505,14.99413
107,14488.10071,16339.88536,1132.07953,10.59965
108,14580.04053,22046.38463,1851.03578,7.59618
109,14628.54374,4323.5615,10002.24455,8.09893
110,14795.63205,22914.45004,1936.58007,18.38484
111,14738.62854,14073.17018,1497.11444,8.43918
112,14902.20593,22791.3007,31187.72359,8.01246
113,15024.8484,23686.97897,20644.86493,7.63119
114,14881.61421,6803.11189,1186.43783,8.0141
115,15048.19774,8650.58111,11290.25383,7.21358
116,15061.14264,12257.0707,526.23003,11.24584
117,15035.42878,22577.19613,965.79819,14.13112
118,15120.65312,9126.67975,844.26775,14.8397
119,15210.45964,9985.24241,11938.61198,6.96586
120,15197.91178,12618.60023,1436.77113,13.9714
121,15338.85784,24134.33153,22236.74351,6.79418
122,15289.62334,6646.92225,3621.1574,11.03924
123,15273.15659,7822.99417,528.68455,14.05997
124,15331.92609,19832.11121,634.20536,14.12649
125,15408.96702,14138.52205,1980.97749,10.75274
126,15577.19255,17943.02318,817.48657,10.62804
127,15673.08822,13361.69642,1097.73012,12.51561
128,15667.12723,8471.7883,7924.54126,5.95611
129,15766.65447,10613.71438,2862.98785,11.50602
130,15940.86608,6882.80578,974.83078,13.63147
131,16012.24949,21378.94596,938.42014,10.47236
132,15885.93486,23102.80135,32274.47799,5.24418
133,16111.84229,24987.46126,21770.72287,8.66332
134,16249.97376,25255.98924,17811.63987,6.07577
135,16139.92589,8956.91089,21175.24889,5.24931
136,16215.13249,20070.70456,581.09518,11.45556
137,16312.13515,18193.13768,674.39664,12.30733
138,16613.62752,22578.01397,7626.68411,6.39797
139,16648.52058,11151.23743,260.57714,13.15457
140,16781.40355,12129.98546,2376.28767,9.81632
141,16965.10359,22683.24985,1795.05565,6.34991
142,17199.08182,25299.80854,34346.59699,4.62413
143,17142.82976,18558.26708,3886.56315,4.24099
144,17240.17613,19531.60138,573.60058,10.48074
145,17344.60033,26317.40702,11656.20177,5.72747
146,17266.30988,18088.03835,533.19533,17.26737
147,17440.69513,8992.47441,20424.85791,5.97478
148,17429.99993,17204.37712,445.57383,16.45081
149,17472.01851,23456.01796,37876.80207,4.12408
150,17413.44347,24483.7009,408.48771,15.7592
151,17497.65492,21078.32146,1032.87575,9.03045
152,17547.86003,12971.39176,648.86466,13.58345
153,17519.96704,22081.85997,3159.30802,11.33936
154,17687.40807,9594.23044,21922.31931,5.55563
155,17724.09179,13586.81616,279.75665,16.06063
156,17702.70247,21491.51363,473.95058,14.06131
157,17746.60608,24923.88896,262.1341,12.37146
158,17832.23989,15457.39303,884.06949,12.38083
159,17869.18699,19709.14864,307.67434,11.25934
160,17942.51098,9682.81641,531.36481,13.84228
161,17995.80628,11134.779,1578.6167,8.05256
