"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
106,7935.0749,5853.14941,91.30065,2945.66144,13.50168
107,7753.87811,11890.07782,86.69583,5375.48485,7.59531
108,7924.61098,12448.08536,103.18844,5084.5823,10.82965
109,7846.41321,6890.92976,57.11779,1395.23847,10.02952
110,7702.04466,9133.03544,95.26005,3410.1824,12.45332
111,7886.78956,3415.23344,82.41968,4498.98086,6.76219
112,7984.99709,5280.38375,82.56714,2041.376,13.51712
113,7867.95672,6387.25861,89.42031,2550.79439,12.66762
114,8027.06907,8476.38458,78.10851,1902.62291,17.85964
115,7788.78062,13648.77403,125.29735,2814.00405,26.69415
116,7949.44609,1105.86213,48.68632,881.77243,9.35237
117,8081.30956,2760.37102,98.50128,2858.77955,16.09917
118,8019.39359,4429.26001,62.02293,996.588,13.0607
119,7985.75594,8313.7523,74.83638,4122.78692,8.02925
120,7927.35758,9610.19921,97.93771,3261.9052,14.8361
121,8000.1341,2342.03123,80.78915,4929.04586,9.14708
122,8104.65593,4884.4185,95.35318,4196.33976,9.49753
123,8087.86232,9517.81993,111.2124,4474.46717,12.9743
124,7958.52823,10626.97301,92.15292,4349.55697,9.62573
125,8024.9553,11349.71475,109.57636,11559.73655,6.33585
126,8096.89611,4039.86835,87.14552,5759.15827,7.89539
127,8185.98783,5982.93021,188.81698,12005.23335,10.18372
128,8123.49107,7488.1672,105.35078,7054.09599,7.83345
129,8154.33962,5800.31637,108.09471,5315.36251,9.78138
130,8122.72612,7515.31208,96.33394,3142.95649,12.94091
131,8224.15256,6832.74998,53.74888,1734.98916,8.75117
132,8225.64207,13588.52215,67.50542,1655.66474,13.28159
133,8271.29487,4483.09215,62.72333,1471.38564,8.987
134,8372.34529,14183.02159,95.45139,3361.25243,13.64591
135,8324.53228,1973.59159,130.85075,5520.2294,14.40631
136,8503.06213,3356.30301,138.6028,21760.76964,6.34488
137,8338.41923,9629.32035,81.92722,1982.51061,16.88537
138,8298.6556,10165.67268,190.17465,10392.6562,13.71283
139,8373.37969,1850.42072,70.2998,2275.98602,9.70334
140,8402.14,5019.6695,92.80019,4550.76622,10.64316
141,8377.23714,6021.69316,89.56401,5098.68568,9.01661
142,8423.71982,8535.88679,71.46313,5010.77903,6.95847
143,8347.57914,10031.25104,145.54702,5303.57923,16.08288
144,8466.93624,1108.77413,48.42985,902.80875,10.60778
145,8482.23365,1333.33947,34.66629,635.58451,8.1394
146,8436.56176,3783.92281,49.85317,1181.87308,9.33617
