id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
1,5019.76226,12451.0911,79.99386,1660.03205,10.65266,87,212,1,0.07450980392156863,False
2,5015.67898,12238.36189,86.67876,1671.3686,10.2539,87,208,1,0.06274509803921569,False
4,5133.29035,11390.59045,85.12609,2020.12706,12.24607,89,194,1,0.047058823529411764,False
5,5157.35244,13632.52621,102.6583,2911.90544,9.70512,90,232,2,0.05795206971677559,False
7,5221.1702,10686.82088,105.03858,3109.80319,12.37925,91,182,2,0.10413943355119824,False
8,5182.84088,11536.56859,103.86209,4320.57304,8.8325,90,197,2,0.13681917211328976,True
10,5200.25896,13978.59711,87.47912,1821.54928,11.29066,90,238,2,0.07058823529411765,False
11,5368.6063,14563.05861,86.47597,2795.30983,7.22995,93,248,1,0.07058823529411765,False
12,5414.75879,10425.6426,92.95578,3633.62586,8.41026,94,178,2,0.11546840958605663,False
16,5620.83255,13044.54264,88.93861,1765.07709,12.34947,98,222,2,0.045315904139433545,False
18,5755.61341,11348.41703,75.25537,1008.9246,13.68299,100,193,1,0.047058823529411764,False
22,5827.57467,10235.99277,139.80194,5768.8455,7.77313,101,174,2,0.0962962962962963,False
24,5787.99893,13091.83175,144.93112,2869.57075,15.83888,101,223,2,0.05010893246187364,False
25,5851.39886,13854.04066,83.09634,1352.62564,11.9141,102,236,1,0.047058823529411764,False
27,6015.43705,9411.60102,97.85292,2750.27497,11.29165,105,160,2,0.06753812636165578,False
28,5980.74401,16358.25428,158.50682,6234.99012,10.28699,104,279,3,0.07247058823529412,False
29,6134.93863,15093.21559,113.55809,2467.72689,14.11963,107,257,2,0.06318082788671024,False
30,6030.44508,9448.88142,103.72994,3198.36405,10.15853,105,161,2,0.08453159041394336,False
33,6123.73511,11203.75144,91.84936,3134.36251,8.68209,106,191,2,0.10501089324618737,False
35,6222.88594,14597.49428,100.16512,2665.90466,12.23867,108,249,2,0.04749455337690632,False
36,6138.73677,15106.66959,111.77286,2352.37486,17.95111,107,257,2,0.06318082788671024,False
38,6211.96343,12997.20656,128.90073,3647.56961,11.78963,108,221,2,0.050980392156862744,False
40,6259.7196,13035.5331,128.99853,2561.60337,14.02203,109,222,2,0.058387799564270156,False
41,6297.38342,8815.15715,85.00477,2270.14799,7.2216,110,150,1,0.0980392156862745,False
42,6260.07039,14726.51856,93.21711,2492.10052,12.32406,109,251,2,0.057080610021786486,False
43,6245.77918,16430.79976,115.29628,2945.17884,12.87254,109,280,2,0.06623093681917211,False
44,6299.10377,12448.05743,91.91131,1085.00738,20.13283,110,212,2,0.03790849673202615,False
49,6390.19299,15316.52524,98.04276,3193.88065,7.97765,111,261,2,0.0718954248366013,False
51,6520.42173,8792.71503,94.79821,1360.0297,24.12085,113,150,2,0.05185185185185185,False
52,6621.49345,10754.29748,140.43638,6639.25515,7.8261,115,183,2,0.1328976034858388,True
54,6482.66034,13060.5642,77.97582,1447.34509,10.41636,113,222,1,0.10196078431372549,False
55,6558.41756,16710.06689,76.1604,1490.69855,9.20386,114,285,1,0.0392156862745098,False
56,6514.02329,12843.9805,90.9896,1684.11507,15.54509,113,219,2,0.04400871459694989,False
57,6647.89885,13670.11122,108.58843,2046.70605,10.9979,116,233,2,0.032244008714596956,False
58,6735.18462,17620.3267,108.36393,2907.56102,8.86964,117,300,2,0.03965141612200436,False
59,6764.46479,9330.06892,126.09869,3657.81114,10.56397,118,159,2,0.09193899782135076,False
60,6660.12677,10657.41058,105.30912,4443.49052,8.82959,116,182,2,0.11285403050108932,False
61,6817.14252,12498.19904,79.99784,2164.62629,9.09774,119,213,1,0.058823529411764705,False
62,6842.89126,17004.49945,82.65071,1043.47812,13.3766,119,290,1,0.050980392156862744,False
63,6842.64967,7668.44288,130.90786,3473.90953,11.01861,119,131,2,0.08627450980392157,False
64,6831.3856,9072.59113,111.53289,3512.33179,11.57683,119,155,2,0.0775599128540305,False
65,6789.08981,9256.28091,165.23329,5732.98479,13.11418,118,158,3,0.08596078431372547,False
66,6836.98939,15409.81965,82.06366,1288.80438,10.3235,119,263,1,0.03529411764705882,False
69,6922.18253,14337.69292,84.58956,922.94949,18.7183,120,244,1,0.027450980392156862,False
70,6937.41029,16233.54215,84.89135,2569.70525,9.02727,121,277,1,0.06666666666666667,False
71,6864.44411,16935.87655,111.56355,1756.43846,14.76021,119,289,2,0.04400871459694989,False
73,6965.31359,8147.80584,82.95187,1603.64966,12.37048,121,139,1,0.047058823529411764,False
74,6990.76118,11170.50507,76.1007,1722.85651,9.37139,122,190,1,0.043137254901960784,False
78,6946.98891,16939.38159,77.0826,901.64695,12.59003,121,289,1,0.0784313725490196,False
79,6921.17399,9166.26972,121.33963,3588.00479,10.92293,120,156,2,0.07363834422657951,False
80,7183.46293,9527.32326,87.6689,1401.27606,15.48001,125,162,2,0.05969498910675381,False
81,7084.46981,7683.22236,142.4732,4037.2685,10.92824,123,131,2,0.07363834422657953,False
82,7026.81251,8417.83188,105.16834,2608.16246,12.14912,122,143,2,0.07320261437908497,False
85,7101.55261,14503.51867,77.7092,1195.19383,11.92876,124,247,1,0.11764705882352941,False
87,7282.98073,6952.47485,144.31044,8058.39751,6.22401,127,118,2,0.1224400871459695,False
89,7271.37354,15467.49861,84.90006,1183.13735,12.00504,126,264,1,0.01568627450980392,False
90,7217.60547,17292.30582,75.83961,1484.39,10.56827,126,295,1,0.03137254901960784,False
93,7401.32098,6656.10297,102.73983,3368.15623,9.27234,129,113,2,0.08278867102396514,False
95,7376.75825,8801.4871,121.9428,3553.91163,10.63274,128,150,2,0.08278867102396514,False
96,7311.5074,10216.38864,78.00781,966.61799,17.33435,127,174,1,0.06666666666666667,False
97,7504.71416,10491.50528,93.57447,2157.82387,11.69789,131,179,2,0.054466230936819175,False
98,7402.42341,14162.8078,95.73365,2152.77618,13.32776,129,241,2,0.07755991285403051,False
100,7337.81223,17911.39035,90.33477,2082.84255,10.04039,128,305,2,0.05969498910675381,False
101,7357.99243,18029.03082,92.59172,3254.98567,7.04578,128,307,2,0.05664488017429194,False
102,7381.0932,9599.64203,75.93044,1877.27772,10.24225,128,164,1,0.08627450980392157,False
107,7351.79442,15438.75223,99.64905,1300.65636,17.14618,128,263,2,0.03877995642701525,False
108,7474.86861,7424.33811,114.34433,4600.94787,8.41212,130,126,2,0.08409586056644881,False
110,7573.16988,14007.20122,151.87811,3291.13111,20.45344,132,239,3,0.05929411764705882,False
111,7631.86531,16724.47389,87.16903,1965.53834,10.64352,133,285,2,0.05185185185185185,False
112,7614.11851,8926.10084,89.17607,1581.56759,14.6717,132,152,2,0.042701525054466234,False
113,7592.16108,10548.01691,75.28204,1719.1622,9.81616,132,180,1,0.023529411764705882,False
114,7643.92558,11859.64001,95.44675,12594.30162,2.315,133,202,2,0.2496732026143791,True
117,7744.04193,6597.71794,108.14807,3940.26282,8.72442,135,112,2,0.0758169934640523,False
119,7890.68927,18763.55784,105.13853,1665.9588,13.53418,137,320,2,0.04008714596949891,False
120,7774.94857,6776.88874,159.65685,8006.02205,8.60097,135,115,3,0.0972549019607843,False
122,7668.12352,13551.86199,97.93281,1305.42895,19.59248,133,231,2,0.047494553376906314,False
123,7852.33024,16351.08039,80.51631,1411.83724,11.67148,137,279,1,0.027450980392156862,False
125,7773.22953,9657.65042,79.27302,990.79597,14.75309,135,165,1,0.0784313725490196,False
126,7815.36998,15603.21963,86.33335,2002.70617,13.18013,136,266,1,0.06274509803921569,False
128,7931.65699,12897.0119,93.63911,2511.68425,9.62097,138,220,2,0.048801742919389976,False
131,8010.30218,11304.75845,114.84622,2679.5913,15.98602,139,193,2,0.05359477124183007,False
136,8016.46107,15416.18371,79.38097,1274.46749,12.57319,139,263,1,0.0392156862745098,False
137,8165.79289,14744.89086,85.51042,943.43189,16.35293,142,251,1,0.0196078431372549,False
138,8165.97718,17928.84349,98.9327,1860.8548,11.93876,142,305,2,0.054901960784313725,False
140,7996.22761,6939.38175,86.12296,697.81518,24.84865,139,118,1,0.023529411764705882,False
144,8109.714,17930.67083,80.66227,1370.95503,12.16648,141,305,1,0.08235294117647059,False
145,8154.9384,18886.99944,130.10112,7424.7568,6.02479,142,322,2,0.08017429193899782,False
146,8201.54286,8967.41858,96.46938,11814.20272,2.90982,143,153,2,0.24618736383442266,True
148,8320.94488,9402.50556,77.27523,1269.50039,11.10636,145,160,1,0.06274509803921569,False
149,8353.75735,10872.91794,96.93521,2094.71963,16.17355,145,185,2,0.054901960784313725,False
153,8344.34493,16591.83909,107.0712,2510.05855,12.82138,145,283,2,0.04793028322440088,False
154,8278.0164,17734.44095,110.28029,1546.92756,18.12643,144,302,2,0.03137254901960784,False
155,8421.20737,6489.55882,101.87637,1576.28132,13.67921,146,111,2,0.04226579520697168,False
157,8391.74669,8273.91164,79.09518,1144.36751,13.19916,146,141,1,0.023529411764705882,False
158,8403.67552,11082.27123,151.13983,6208.1015,7.77438,146,189,3,0.0724705882352941,False
159,8439.71266,12968.09579,101.95647,2957.474,9.37485,147,221,2,0.04923747276688453,False
161,8403.35418,7541.65199,77.66666,1864.66573,9.93614,146,128,1,0.08235294117647059,False
162,8421.1006,16683.09251,90.03537,1780.35778,12.13972,146,284,2,0.042701525054466234,False
163,8530.0099,13364.70297,84.44294,2172.44537,9.64122,148,228,1,0.03137254901960784,False
164,8567.18181,18329.0377,90.91689,967.16513,18.94868,149,312,2,0.03050108932461874,False
166,8586.78206,19504.33581,101.36043,2280.00694,13.26953,149,332,2,0.057080610021786486,False
168,8630.60527,9076.00091,95.16931,2083.19133,12.7226,150,155,2,0.05533769063180828,False
172,8684.41458,15287.94798,93.87565,2681.16287,10.08272,151,260,2,0.040087145969498916,False
175,8715.21131,18947.54563,102.07408,3762.11338,9.4603,152,323,2,0.06710239651416122,False
177,8834.58034,10157.90515,75.77369,1618.08556,10.87898,154,173,1,0.058823529411764705,False
178,8701.6006,19003.0307,97.12716,3260.68952,11.1203,151,324,2,0.08453159041394336,False
184,8921.38197,9610.7467,91.65182,2023.17019,11.48581,155,164,2,0.05620915032679738,False
185,8855.28408,17158.16852,129.37016,5154.37359,9.69212,154,292,2,0.06884531590413942,False
186,8800.88363,19436.24128,112.92231,3887.25508,14.11288,153,331,2,0.06840958605664488,False
187,8814.33098,19496.35744,116.57091,3820.79206,10.86938,153,332,2,0.07930283224400872,False
189,8975.68663,7630.26711,82.2491,2036.25975,9.39518,156,130,1,0.07450980392156863,False
190,8953.91677,10047.89209,113.22182,2891.80051,13.13527,156,171,2,0.03442265795206972,False
191,8958.98344,13360.05541,123.31241,3650.92324,8.97937,156,228,2,0.08888888888888888,False
193,8862.16013,16631.55065,110.30867,3811.05037,9.14208,154,283,2,0.07581699346405228,False
195,8988.05893,11955.1218,101.31363,2314.65746,14.1564,156,204,2,0.06971677559912853,False
196,8954.24683,13851.42465,75.55473,1336.79069,12.02574,156,236,1,0.011764705882352941,False
197,8936.50342,16303.30142,169.72927,4366.26132,15.51125,155,278,3,0.04486274509803922,False
198,9042.35959,18447.48982,107.26113,4210.97223,8.08418,157,314,2,0.0662309368191721,False
199,9093.14062,9501.81497,94.76785,1444.82587,19.38981,158,162,2,0.048366013071895426,False
200,9175.46588,5549.56923,94.34504,968.21046,22.10484,160,95,2,0.04705882352941177,False
202,9126.63168,10845.95229,100.61305,2304.67855,12.28542,159,185,2,0.06230936819172114,False
204,9101.98255,19783.97148,77.05809,2086.40781,8.68478,158,337,1,0.07058823529411765,False
205,9116.40778,14778.00203,98.11344,1667.59553,15.2734,159,252,2,0.027450980392156862,False
206,9259.52919,8101.50177,91.52609,3370.6486,9.39161,161,138,2,0.0766884531590414,False
208,9159.55286,9034.67242,81.5206,599.25194,26.35557,159,154,1,0.08235294117647059,False
209,9220.79161,11837.2949,106.88977,2030.14867,12.70128,160,202,2,0.06928104575163399,False
211,9305.08275,11316.16845,118.66466,2995.41576,11.61172,162,193,2,0.0832244008714597,False
212,9274.11855,13309.17727,104.22635,1827.21394,13.5694,161,227,2,0.05838779956427014,False
213,9441.20067,14410.54443,80.77175,1264.14057,13.41343,164,245,1,0.09411764705882353,False
215,9364.45014,7236.17881,84.47905,1629.83656,13.11618,163,123,1,0.03529411764705882,False
216,9321.749,11047.16452,120.74895,2828.00536,12.78251,162,188,2,0.061437908496732016,False
217,9482.00338,5551.86978,99.71408,1622.24913,13.39461,165,95,2,0.05272331154684096,False
218,9428.96584,8241.73181,93.41321,3057.53953,10.9698,164,140,2,0.04923747276688453,False
219,9399.30211,15146.53246,76.43762,1358.98978,8.9149,163,258,1,0.03529411764705882,False
222,9413.45527,18353.31442,100.12189,3214.80426,11.16137,164,313,2,0.0840958605664488,False
226,9414.62661,18309.71854,103.64541,3292.68554,11.34913,164,312,2,0.06710239651416122,False
227,9531.20647,19102.17877,86.70509,1218.75233,13.25268,166,325,1,0.0196078431372549,False
230,9457.99036,14210.34557,104.32021,1885.79461,17.46016,164,242,2,0.0514161220043573,False
231,9672.31492,19803.53486,87.48362,929.1315,20.91526,168,337,2,0.04139433551198257,False
232,9615.97721,7980.30255,84.0784,1750.89804,15.61562,167,136,1,0.058823529411764705,False
238,9646.15679,18575.2896,90.98559,1937.15636,13.2913,168,316,2,0.022222222222222223,False
239,9736.10079,13855.83133,103.07895,1959.52558,11.86381,169,236,2,0.03572984749455338,False
240,9811.18078,15896.78318,86.00243,1752.65806,11.9839,171,271,1,0.06274509803921569,False
242,9815.68285,7466.79723,80.4486,1269.49914,11.58641,171,127,1,0.054901960784313725,False
244,9765.38478,11751.40294,78.042,1030.64662,13.36975,170,200,1,0.054901960784313725,False
245,9708.27923,13800.47966,91.32007,1238.24452,18.97649,169,235,2,0.02570806100217865,False
246,9848.11629,16881.04138,87.53554,1388.94304,14.5529,171,288,2,0.043137254901960784,False
249,9753.25431,20404.50031,78.00057,1946.5722,10.50035,170,348,1,0.07450980392156863,False
251,9799.49307,9366.86796,79.87626,1412.73774,10.5984,170,160,1,0.08235294117647059,False
252,9996.4174,10057.96549,115.88058,3303.95319,11.07197,174,171,2,0.04400871459694989,False
