"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
1,5019.76226,12451.0911,79.99386,1660.03205,10.65266
2,5015.67898,12238.36189,86.67876,1671.3686,10.2539
3,5167.9016,14032.86528,51.41979,667.56225,11.35506
4,5133.29035,11390.59045,85.12609,2020.12706,12.24607
5,5157.35244,13632.52621,102.6583,2911.90544,9.70512
6,5142.21733,12682.42575,67.63148,867.59612,12.89442
7,5221.1702,10686.82088,105.03858,3109.80319,12.37925
8,5182.84088,11536.56859,103.86209,4320.57304,8.8325
9,5220.46351,13239.49028,71.70583,1709.99107,9.74977
10,5200.25896,13978.59711,87.47912,1821.54928,11.29066
11,5368.6063,14563.05861,86.47597,2795.30983,7.22995
12,5414.75879,10425.6426,92.95578,3633.62586,8.41026
13,5409.02682,15159.06979,46.74289,347.59315,12.85001
14,5556.77337,9537.83446,60.91302,1080.00124,9.64525
15,5546.82722,11973.81082,58.13985,974.55076,9.48526
16,5620.83255,13044.54264,88.93861,1765.07709,12.34947
17,5604.74224,15333.02279,46.76996,425.14147,10.50871
18,5755.61341,11348.41703,75.25537,1008.9246,13.68299
19,5783.98984,8796.43762,62.38653,926.97306,9.47991
20,5765.29359,11434.64683,74.02633,1053.69225,12.67301
21,5731.37791,14370.07782,55.24583,888.5435,10.56964
22,5827.57467,10235.99277,139.80194,5768.8455,7.77313
23,5855.07078,12454.95556,55.7666,1574.36362,5.4559
24,5787.99893,13091.83175,144.93112,2869.57075,15.83888
25,5851.39886,13854.04066,83.09634,1352.62564,11.9141
26,5958.77378,8549.17436,68.90889,1533.29849,10.91828
27,6015.43705,9411.60102,97.85292,2750.27497,11.29165
28,5980.74401,16358.25428,158.50682,6234.99012,10.28699
29,6134.93863,15093.21559,113.55809,2467.72689,14.11963
30,6030.44508,9448.88142,103.72994,3198.36405,10.15853
31,6080.28463,10749.62062,63.54539,1086.98497,10.25935
32,6040.50057,15598.80373,55.50864,840.48591,8.82644
33,6123.73511,11203.75144,91.84936,3134.36251,8.68209
34,6140.34351,11832.8907,68.34256,700.31698,16.90122
35,6222.88594,14597.49428,100.16512,2665.90466,12.23867
36,6138.73677,15106.66959,111.77286,2352.37486,17.95111
37,6175.84032,9986.64504,50.25363,530.39553,13.23593
38,6211.96343,12997.20656,128.90073,3647.56961,11.78963
39,6194.25139,12140.20128,58.70275,959.74272,10.18781
40,6259.7196,13035.5331,128.99853,2561.60337,14.02203
41,6297.38342,8815.15715,85.00477,2270.14799,7.2216
42,6260.07039,14726.51856,93.21711,2492.10052,12.32406
43,6245.77918,16430.79976,115.29628,2945.17884,12.87254
44,6299.10377,12448.05743,91.91131,1085.00738,20.13283
45,6375.93986,14281.38843,50.61297,554.66552,11.18041
46,6446.87324,7492.93542,35.85902,643.09179,7.91493
47,6405.11521,9962.545,60.17955,860.69823,10.64528
48,6388.52109,13417.99035,50.72327,524.96803,12.13461
49,6390.19299,15316.52524,98.04276,3193.88065,7.97765
