id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
2,7027.9579,13051.67202,87.72007,3231.737,14.662,122,222,2,0.07712418300653595,False
4,7022.78711,12686.26066,89.39806,1922.1126,13.91865,122,216,2,0.04531590413943355,False
5,7052.2284,13166.35075,83.6337,2334.51374,17.4891,123,224,1,0.12549019607843137,False
11,7211.49119,7394.37257,85.44605,2342.52297,11.783,125,126,1,0.09411764705882353,False
13,7344.98329,5427.47654,115.99628,3623.40019,9.65279,128,92,2,0.09281045751633987,False
14,7359.6301,5594.97521,110.97278,2838.7403,12.78593,128,95,2,0.11677559912854031,False
15,7189.00368,7437.0035,95.67388,2353.83131,11.18279,125,127,2,0.06928104575163398,False
18,7183.54441,12369.33087,75.58869,1292.24558,12.57407,125,211,1,0.047058823529411764,False
20,7293.10771,6360.86695,88.58683,1448.63935,12.44289,127,108,2,0.0457516339869281,False
21,7349.09597,8949.75381,88.73056,1673.96533,12.82129,128,152,2,0.07015250544662309,False
24,7444.44754,14675.54094,105.37771,6392.55148,9.52675,129,250,2,0.1224400871459695,False
27,7526.56982,4412.10087,91.64149,1214.12873,17.5645,131,75,2,0.07189542483660132,False
28,7414.25368,6578.19193,90.62974,2445.19021,9.52518,129,112,2,0.057516339869281036,False
29,7405.78705,13237.85418,88.32494,2544.22334,11.11038,129,226,2,0.07407407407407407,False
30,7630.39447,1305.27933,80.75871,1212.50048,14.32353,133,22,1,0.08627450980392157,False
32,7413.87925,7281.71077,83.85875,2594.24772,8.23938,129,124,1,0.09019607843137256,False
35,7498.49676,8134.695,109.17687,3396.99163,11.92768,130,139,2,0.13028322440087148,False
36,7510.54155,15951.24787,85.33546,2279.42688,11.22947,131,272,1,0.054901960784313725,False
37,7668.96879,1590.16048,84.12214,806.07659,20.83704,133,27,1,0.06666666666666667,False
39,7549.28765,5456.79137,157.41444,7378.87635,9.81943,131,93,3,0.10760784313725491,False
41,7745.81749,9980.44304,78.68185,1413.75456,12.44246,135,170,1,0.054901960784313725,False
42,7718.37634,10604.77893,110.51313,1714.47414,21.1323,134,181,2,0.03006535947712418,False
45,7701.95541,8670.60582,109.15402,3246.76445,10.73843,134,148,2,0.1281045751633987,False
46,7654.09297,10592.90417,80.29298,1089.00042,12.58338,133,180,1,0.043137254901960784,False
47,7739.38455,11180.86568,162.21789,7250.94761,10.76802,135,190,3,0.08643137254901961,False
49,7656.45371,15066.59686,114.26754,7772.31648,7.48411,133,257,2,0.1673202614379085,False
50,7766.13649,1189.94235,79.06153,2009.4767,12.17273,135,20,1,0.12941176470588234,False
51,7734.24328,5014.88382,116.16223,3882.81755,10.94461,135,85,2,0.11416122004357297,False
55,7819.03559,11478.63872,85.34433,3346.57924,8.62418,136,196,1,0.09411764705882353,False
56,7728.92202,15431.5675,77.42207,986.23801,18.3866,134,263,1,0.054901960784313725,False
59,7933.72725,7601.9366,87.36856,1978.62679,11.68932,138,130,2,0.056209150326797394,False
61,7870.93966,8780.60267,187.21673,9889.02143,10.47078,137,150,3,0.10086274509803922,False
62,7929.11528,2862.88709,96.8475,4063.19588,9.57614,138,49,2,0.1281045751633987,False
63,8005.20462,4272.41338,112.40745,5490.1497,6.09064,139,73,2,0.11633986928104573,False
64,7956.79074,4728.30724,181.91768,8618.40099,10.54762,138,81,3,0.09615686274509805,False
67,7962.8063,10787.4609,97.61564,3411.332,8.92452,138,184,2,0.10326797385620916,False
69,8061.00506,14495.75677,111.57273,2840.81708,11.59592,140,247,2,0.03747276688453159,False
70,7977.198,1872.24133,86.70696,2145.20027,10.19373,139,32,1,0.047058823529411764,False
72,8014.69675,13206.7482,82.20574,1914.19822,13.13313,139,225,1,0.06274509803921569,False
74,8046.70605,1278.39504,102.01488,2754.95903,13.14496,140,22,2,0.10108932461873638,False
77,7959.0576,11332.38047,91.21926,2073.66488,12.73812,138,193,2,0.06623093681917211,False
79,8185.86378,13803.10401,93.92695,2815.97119,10.54903,142,235,2,0.06928104575163399,False
84,8204.62933,15440.30484,75.61373,1743.90459,10.55942,143,263,1,0.027450980392156862,False
85,8160.49049,16059.08379,82.17784,1846.03006,10.94154,142,274,1,0.06666666666666667,False
86,8151.0359,16112.37825,93.14733,2300.31909,11.6846,142,274,2,0.05228758169934641,False
88,8237.66349,9714.5775,90.45868,1887.9263,13.45645,143,165,2,0.050980392156862744,False
90,8195.94604,13592.38345,87.24248,1784.71079,14.19194,143,232,2,0.046623093681917215,False
91,8196.92409,14783.32993,83.286,938.85672,15.64421,143,252,1,0.047058823529411764,False
92,8249.81964,635.28185,122.70606,5190.69076,8.38289,143,11,2,0.11372549019607842,False
97,8305.39958,3466.73899,98.07237,3647.30573,10.03028,144,59,2,0.16949891067538125,False
98,8401.84198,7955.0926,89.12596,3583.27949,9.50734,146,136,2,0.0766884531590414,False
99,8330.04287,9477.0132,88.21696,1458.06268,13.6,145,161,2,0.03572984749455337,False
102,8388.14304,209.03678,85.14204,2713.23998,8.19005,146,4,1,0.054901960784313725,False
104,8381.06356,7167.55198,80.68588,2252.75294,11.92437,146,122,1,0.054901960784313725,False
105,8381.14386,8913.25113,78.55682,2153.62094,8.0648,146,152,1,0.06274509803921569,False
106,8429.03707,11868.14524,99.9387,3217.67292,12.32726,147,202,2,0.06013071895424836,False
107,8296.94418,13904.8207,151.50841,3204.95446,22.98983,144,237,3,0.07200000000000001,False
108,8385.6142,17676.8637,121.40433,7768.43878,6.0541,146,301,2,0.05664488017429194,False
109,8327.81308,2234.03161,96.49864,2158.21669,16.37815,145,38,2,0.08932461873638345,False
110,8462.7438,3783.61575,137.47534,6848.32017,8.49514,147,64,2,0.10980392156862746,False
111,8388.95494,7675.75778,102.66214,4696.50557,8.56018,146,131,2,0.12374727668845314,False
112,8343.60794,13752.12281,100.2674,2306.78037,11.6621,145,234,2,0.06274509803921569,False
113,8529.71801,16339.98938,86.6264,2418.68802,13.09203,148,278,1,0.043137254901960784,False
114,8501.03891,16922.13798,98.84626,2659.45886,13.02831,148,288,2,0.08801742919389978,False
115,8533.56201,18260.23165,91.60414,3053.60333,10.29125,148,311,2,0.08278867102396513,False
116,8528.04535,19397.05524,98.2387,3655.09206,8.20935,148,330,2,0.18082788671023964,False
117,8468.84038,20192.49555,93.5945,5665.69944,6.25654,147,344,2,0.0962962962962963,False
118,8496.77807,2942.9125,81.98808,2554.59124,7.85232,148,50,1,0.054901960784313725,False
119,8549.23905,4271.56671,115.14526,3063.61999,13.67636,149,73,2,0.08148148148148147,False
121,8594.87517,4444.39114,99.68766,3756.40919,11.67726,149,76,2,0.08322440087145969,False
126,8609.53216,16502.38921,78.2733,2108.58764,14.86931,150,281,1,0.023529411764705882,False
129,8596.84414,10449.67208,77.5677,2494.42996,10.21373,150,178,1,0.043137254901960784,False
132,8620.7216,18418.41975,95.17947,3284.3599,8.67277,150,314,2,0.0727668845315904,False
133,8610.92907,19267.06256,106.28419,6253.02464,9.05464,150,328,2,0.065359477124183,False
134,8720.70273,400.8453,91.14061,1360.80853,13.12872,152,7,2,0.06274509803921569,False
136,8639.11176,11734.62153,104.68283,2364.49626,14.08186,150,200,2,0.05925925925925926,False
138,8718.71502,16020.19221,80.12789,1224.3419,16.28883,152,273,1,0.00784313725490196,False
139,8649.63518,3808.78978,89.74538,3238.2134,11.19312,150,65,2,0.13943355119825707,False
140,8695.23396,14440.76841,99.99502,4070.99225,8.08304,151,246,2,0.08366013071895426,False
141,8694.56119,17644.33297,76.3304,2604.95021,8.7786,151,301,1,0.08627450980392157,False
142,8691.97022,17811.96793,145.70554,6114.79438,11.13545,151,303,3,0.08705882352941177,False
143,8881.08427,812.57006,76.81167,2095.06036,10.06166,154,14,1,0.09019607843137256,False
144,8765.44824,1441.49523,89.04751,3493.27489,8.55193,152,25,2,0.11546840958605663,False
145,8946.17723,2358.58373,77.24025,1698.05342,11.70474,156,40,1,0.14901960784313725,False
