"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
1,6823.78646,7925.68008,34.14087,169.72854,13.14999
2,7027.9579,13051.67202,87.72007,3231.737,14.662
3,6954.78877,12172.938,34.07524,373.18557,9.89723
4,7022.78711,12686.26066,89.39806,1922.1126,13.91865
5,7052.2284,13166.35075,83.6337,2334.51374,17.4891
6,6988.27146,9064.23292,48.30374,635.10965,9.64705
7,7061.04083,16623.35354,34.84644,211.33579,11.48648
8,7182.45545,8071.761,59.69435,810.62856,9.55468
9,7146.49174,15326.98289,50.28918,680.38246,11.97286
10,7151.53307,15912.1985,36.92777,324.51247,8.19432
11,7211.49119,7394.37257,85.44605,2342.52297,11.783
12,7185.81712,10975.38258,31.16054,294.63596,11.05835
13,7344.98329,5427.47654,115.99628,3623.40019,9.65279
14,7359.6301,5594.97521,110.97278,2838.7403,12.78593
15,7189.00368,7437.0035,95.67388,2353.83131,11.18279
16,7265.91351,9538.88998,33.91515,338.23627,6.99089
17,7193.98623,11837.98461,74.72808,1819.62232,9.43418
18,7183.54441,12369.33087,75.58869,1292.24558,12.57407
19,7223.74552,16989.31612,46.21666,463.86258,9.78727
20,7293.10771,6360.86695,88.58683,1448.63935,12.44289
21,7349.09597,8949.75381,88.73056,1673.96533,12.82129
22,7393.57896,1452.34776,45.37983,428.99536,11.65242
23,7316.09604,3273.33786,49.51901,568.31452,9.07187
24,7444.44754,14675.54094,105.37771,6392.55148,9.52675
25,7428.66419,2432.75502,71.28612,1437.26906,10.47665
26,7488.76415,4013.8855,68.30595,1525.96493,11.73376
27,7526.56982,4412.10087,91.64149,1214.12873,17.5645
28,7414.25368,6578.19193,90.62974,2445.19021,9.52518
29,7405.78705,13237.85418,88.32494,2544.22334,11.11038
30,7630.39447,1305.27933,80.75871,1212.50048,14.32353
31,7518.05233,3651.64638,54.57067,1012.66525,9.30837
32,7413.87925,7281.71077,83.85875,2594.24772,8.23938
33,7397.11844,14078.93979,72.00163,1701.0306,11.79517
34,7458.12565,16834.28109,54.81095,456.68553,13.34925
35,7498.49676,8134.695,109.17687,3396.99163,11.92768
36,7510.54155,15951.24787,85.33546,2279.42688,11.22947
37,7668.96879,1590.16048,84.12214,806.07659,20.83704
38,7557.5074,2271.59299,50.6892,686.96493,12.17416
39,7549.28765,5456.79137,157.41444,7378.87635,9.81943
40,7636.83345,6836.92703,61.5336,804.41382,15.80957
41,7745.81749,9980.44304,78.68185,1413.75456,12.44246
42,7718.37634,10604.77893,110.51313,1714.47414,21.1323
43,7640.27341,12068.82665,60.37269,1901.4055,6.46962
44,7657.86903,5902.12281,58.21423,802.70963,10.4362
45,7701.95541,8670.60582,109.15402,3246.76445,10.73843
46,7654.09297,10592.90417,80.29298,1089.00042,12.58338
47,7739.38455,11180.86568,162.21789,7250.94761,10.76802
48,7714.20316,13599.45169,55.88764,1092.33479,9.55004
49,7656.45371,15066.59686,114.26754,7772.31648,7.48411
50,7766.13649,1189.94235,79.06153,2009.4767,12.17273
51,7734.24328,5014.88382,116.16223,3882.81755,10.94461
52,7779.57817,12951.81115,70.7179,2241.52598,9.91104
53,7802.57282,17241.21444,72.77628,1052.22565,12.77661
54,7811.22913,10113.75613,67.22768,1151.46398,11.42447
55,7819.03559,11478.63872,85.34433,3346.57924,8.62418
56,7728.92202,15431.5675,77.42207,986.23801,18.3866
57,7795.02995,16559.04693,70.62407,2895.80211,4.9537
58,7873.97445,7065.39451,57.24598,1065.81708,7.64669
59,7933.72725,7601.9366,87.36856,1978.62679,11.68932
60,7912.22391,17364.65433,73.64348,1607.33162,9.94042
61,7870.93966,8780.60267,187.21673,9889.02143,10.47078
62,7929.11528,2862.88709,96.8475,4063.19588,9.57614
63,8005.20462,4272.41338,112.40745,5490.1497,6.09064
64,7956.79074,4728.30724,181.91768,8618.40099,10.54762
65,7880.7335,6122.41498,57.54584,350.57712,19.19326
66,7888.34011,9385.34214,66.71828,604.63968,20.29161
67,7962.8063,10787.4609,97.61564,3411.332,8.92452
68,7946.13754,14213.94663,53.71543,760.35561,12.69629
69,8061.00506,14495.75677,111.57273,2840.81708,11.59592
70,7977.198,1872.24133,86.70696,2145.20027,10.19373
71,8048.63814,6450.03415,74.83166,1382.36332,9.44919
72,8014.69675,13206.7482,82.20574,1914.19822,13.13313
73,8073.13283,17914.56151,28.37169,310.78854,10.93087
74,8046.70605,1278.39504,102.01488,2754.95903,13.14496
75,8084.05847,7073.24122,52.62192,704.82202,14.28059
76,8189.4257,10385.80914,66.76849,1216.83005,11.3796
77,7959.0576,11332.38047,91.21926,2073.66488,12.73812
78,8091.13724,12340.97174,54.47002,618.97908,11.30541
79,8185.86378,13803.10401,93.92695,2815.97119,10.54903
80,8106.48937,17115.79065,38.52904,475.64349,10.02752
81,8131.33618,18604.51652,42.74373,180.055,13.78058
82,8132.52765,5696.80787,38.82333,235.57541,13.74517
83,8251.84499,12512.21384,46.76579,574.60716,10.98903
84,8204.62933,15440.30484,75.61373,1743.90459,10.55942
85,8160.49049,16059.08379,82.17784,1846.03006,10.94154
86,8151.0359,16112.37825,93.14733,2300.31909,11.6846
87,8197.987,5171.6863,17.83551,246.46774,5.71874
88,8237.66349,9714.5775,90.45868,1887.9263,13.45645
89,8245.82187,11834.74377,72.54059,2068.32779,9.8182
90,8195.94604,13592.38345,87.24248,1784.71079,14.19194
91,8196.92409,14783.32993,83.286,938.85672,15.64421
92,8249.81964,635.28185,122.70606,5190.69076,8.38289
93,8336.46363,2239.78589,73.45909,1387.22144,16.99039
94,8338.66984,8235.66156,65.58865,1573.29175,10.64891
95,8250.84163,12504.21606,47.34246,594.05801,11.8354
96,8318.38181,2624.6015,68.18516,1689.56296,8.15581
97,8305.39958,3466.73899,98.07237,3647.30573,10.03028
98,8401.84198,7955.0926,89.12596,3583.27949,9.50734
99,8330.04287,9477.0132,88.21696,1458.06268,13.6
100,8219.64144,10755.23361,65.19919,991.90474,14.10125
101,8340.12697,12925.02344,53.19339,662.05407,9.74449
102,8388.14304,209.03678,85.14204,2713.23998,8.19005
103,8416.30606,6696.34883,51.15762,685.05959,10.59469
104,8381.06356,7167.55198,80.68588,2252.75294,11.92437
105,8381.14386,8913.25113,78.55682,2153.62094,8.0648
106,8429.03707,11868.14524,99.9387,3217.67292,12.32726
107,8296.94418,13904.8207,151.50841,3204.95446,22.98983
108,8385.6142,17676.8637,121.40433,7768.43878,6.0541
109,8327.81308,2234.03161,96.49864,2158.21669,16.37815
110,8462.7438,3783.61575,137.47534,6848.32017,8.49514
111,8388.95494,7675.75778,102.66214,4696.50557,8.56018
112,8343.60794,13752.12281,100.2674,2306.78037,11.6621
113,8529.71801,16339.98938,86.6264,2418.68802,13.09203
114,8501.03891,16922.13798,98.84626,2659.45886,13.02831
115,8533.56201,18260.23165,91.60414,3053.60333,10.29125
116,8528.04535,19397.05524,98.2387,3655.09206,8.20935
117,8468.84038,20192.49555,93.5945,5665.69944,6.25654
118,8496.77807,2942.9125,81.98808,2554.59124,7.85232
119,8549.23905,4271.56671,115.14526,3063.61999,13.67636
120,8488.61389,15136.27234,45.04768,583.51585,9.25271
121,8594.87517,4444.39114,99.68766,3756.40919,11.67726
122,8541.26289,4675.65446,51.22307,1157.64498,11.38845
123,8629.23044,10028.99129,62.50451,1216.38515,12.34541
124,8531.77367,11093.73705,69.2793,1454.6872,10.79455
125,8562.08682,11184.73681,59.77756,965.25639,11.59591
126,8609.53216,16502.38921,78.2733,2108.58764,14.86931
127,8594.77916,6213.57377,41.56554,496.57142,10.48949
128,8588.46075,8623.83831,34.39779,436.08619,7.60234
129,8596.84414,10449.67208,77.5677,2494.42996,10.21373
130,8632.27806,12516.18778,35.66232,252.487,10.81403
131,8632.1106,15909.33005,66.26547,1023.1876,11.14841
132,8620.7216,18418.41975,95.17947,3284.3599,8.67277
